event_id,circular_ids,n_circulars,luminosity_distance_mpc,luminosity_distance_lower_mpc,luminosity_distance_upper_mpc,far_value,far_unit,snr,snr_source,p_bbh,p_bns,p_nsbh,p_terrestrial,source_class,reference_chirp_mass,reference_chirp_mass_low,reference_chirp_mass_high,reference_mass_frame,data_quality_flags,estimated_chirp_mass_msun,estimation_notes
S230807f,"[34365, 34360, 34372]",3,5272.0,3372.0,7172.0,7.1e-08,Hz,N/A,missing,86.0,1.0,1.0,14.0,BBH,N/A,N/A,N/A,N/A,no_reference_chirp_mass,132.62,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230620w,[34035],1,52.0,N/A,N/A,N/A,N/A,N/A,missing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_reference_chirp_mass;no_far,0.52,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S231025t,[34890],1,80.0,N/A,N/A,N/A,N/A,N/A,missing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_reference_chirp_mass;no_far,0.87,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230928cb,"[34790, 34781, 34786]",3,5604.0,3912.0,7296.0,9.5e-10,Hz,N/A,missing,99.0,1.0,1.0,1.0,BBH,N/A,N/A,N/A,N/A,no_reference_chirp_mass,142.71,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230802aq,"[34336, 34315, 34316, 34319, 34327, 34314]",6,576.0,330.0,822.0,2.2e-08,Hz,N/A,missing,90.0,1.0,6.0,3.0,BBH,N/A,N/A,N/A,N/A,no_reference_chirp_mass,9.31,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230618y,[34011],1,71.0,N/A,N/A,N/A,N/A,N/A,missing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_reference_chirp_mass;no_far,0.75,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230707ai,"[34186, 34161]",2,4074.0,2589.0,5559.0,1.4e-08,Hz,N/A,missing,95.0,1.0,1.0,5.0,BBH,N/A,N/A,N/A,N/A,no_reference_chirp_mass,97.34,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230615t,[33968],1,23.0,N/A,N/A,N/A,N/A,N/A,missing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_reference_chirp_mass;no_far,0.2,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230814r,"[34411, 34426]",2,5634.0,3611.0,7657.0,4.8e-08,Hz,N/A,missing,93.0,1.0,1.0,7.0,BBH,N/A,N/A,N/A,N/A,no_reference_chirp_mass,143.63,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230825k,"[34548, 34559, 34546]",3,5283.0,3166.0,7400.0,2.4e-09,Hz,N/A,missing,99.0,1.0,1.0,1.0,BBH,N/A,N/A,N/A,N/A,no_reference_chirp_mass,132.96,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230615af,[33976],1,68.0,N/A,N/A,N/A,N/A,N/A,missing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_reference_chirp_mass;no_far,0.72,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S231025a,"[34877, 34889]",2,3.0,N/A,N/A,N/A,N/A,N/A,missing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_reference_chirp_mass;no_far,0.02,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S231113bw,"[35027, 35021, 35017, 35034, 35024, 35016, 35032]",7,1186.0,810.0,1562.0,1.4e-08,Hz,N/A,missing,96.0,1.0,1.0,4.0,BBH,N/A,N/A,N/A,N/A,no_reference_chirp_mass,22.14,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230628aj,[34107],1,3.0,N/A,N/A,N/A,N/A,N/A,missing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_reference_chirp_mass;no_far,0.02,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230908b,[34646],1,3.0,N/A,N/A,N/A,N/A,N/A,missing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_reference_chirp_mass;no_far,0.02,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230824r,"[34535, 34534]",2,4701.0,3138.0,6264.0,1.6e-11,Hz,N/A,missing,99.0,1.0,1.0,1.0,BBH,N/A,N/A,N/A,N/A,no_reference_chirp_mass,115.58,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230811n,"[34382, 34380]",2,1905.0,1233.0,2577.0,3.2e-10,Hz,N/A,missing,99.0,1.0,1.0,1.0,BBH,N/A,N/A,N/A,N/A,no_reference_chirp_mass,39.1,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S231206ca,"[35297, 35326, 35305]",3,3223.0,2240.0,4206.0,3.2e-10,Hz,N/A,missing,99.0,1.0,1.0,1.0,BBH,N/A,N/A,N/A,N/A,no_reference_chirp_mass,73.48,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S240104bl,"[35481, 35480, 35500]",3,1978.0,1360.0,2596.0,3.6e-17,Hz,N/A,missing,99.0,1.0,1.0,1.0,BBH,N/A,N/A,N/A,N/A,no_reference_chirp_mass,40.9,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S231224e,"[35431, 35424, 35423]",3,863.0,650.0,1076.0,1.5e-09,Hz,N/A,missing,99.0,0.0,1.0,1.0,BBH,N/A,N/A,N/A,N/A,no_reference_chirp_mass,15.12,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230904n,"[34688, 34629, 34612, 34616, 34717, 34751]",6,1095.0,768.0,1422.0,2.2e-09,Hz,N/A,missing,99.0,1.0,1.0,1.0,BBH,N/A,N/A,N/A,N/A,no_reference_chirp_mass,20.12,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S231029k,[34902],1,78.0,N/A,N/A,N/A,N/A,N/A,missing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_reference_chirp_mass;no_far,0.84,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S231118d,"[35150, 35144, 35090]",3,2110.0,1525.0,2695.0,3.2e-10,Hz,N/A,missing,99.0,1.0,1.0,1.0,BBH,N/A,N/A,N/A,N/A,no_reference_chirp_mass,44.2,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
